numdomains,ipscount,ipsv4count,ipsv6count
5365,0,0,0
1,1,0,1
10495,1,1,0
625,2,1,1
203713,2,2,0
2,3,1,2
6889,3,2,1
59958,3,3,0
2,4,0,4
29815,4,2,2
2727,4,3,1
43998,4,4,0
7,5,2,3
624,5,3,2
1206,5,4,1
4722,5,5,0
7598,6,3,3
742,6,4,2
339,6,5,1
645,6,6,0
2,7,3,4
3032,7,4,3
128,7,5,2
102,7,6,1
132,7,7,0
15,8,3,5
16488,8,4,4
197,8,5,3
31,8,6,2
3,8,7,1
110,8,8,0
480,9,5,4
59,9,6,3
148,9,7,2
2,9,8,1
11,9,9,0
2826,10,5,5
94,10,6,4
3,10,7,3
32,10,8,2
41,10,9,1
332,10,10,0
54,11,6,5
9,11,7,4
14,11,8,3
16,11,9,2
1,11,10,1
1,11,11,0
964,12,6,6
35,12,7,5
9,12,8,4
4,12,9,3
4,12,10,2
5,12,12,0
466,13,7,6
1,13,8,5
1,13,9,4
1,13,12,1
5,13,13,0
22,14,7,7
17,14,8,6
14,14,9,5
2,14,10,4
1,14,12,2
4,14,14,0
22,15,8,7
13,15,12,3
30,16,8,8
4,16,10,6
1,16,12,4
193,16,16,0
30,17,9,8
2,17,10,7
57,17,17,0
20,18,9,9
10,18,10,8
1,18,12,6
34,18,16,2
1,19,8,11
11,19,10,9
3,19,14,5
4,20,10,10
1,20,13,7
1,20,14,6
2,20,16,4
1,20,18,2
27,21,11,10
1,21,15,6
1,21,16,5
1,21,21,0
4,22,11,11
8,23,12,11
1,23,14,9
1,23,17,6
7,24,12,12
1,24,16,8
2,24,24,0
46,25,13,12
15,27,14,13
2,27,15,12
1,34,18,16
