numdomains,ipscount,ipsv4count,ipsv6count
5236,0,0,0
3,1,0,1
12973,1,1,0
698,2,1,1
205251,2,2,0
6233,3,2,1
66670,3,3,0
38296,4,2,2
2711,4,3,1
47876,4,4,0
2,5,2,3
859,5,3,2
475,5,4,1
4252,5,5,0
8748,6,3,3
917,6,4,2
131,6,5,1
848,6,6,0
1,7,3,4
3396,7,4,3
128,7,5,2
27,7,6,1
294,7,7,0
19905,8,4,4
178,8,5,3
31,8,6,2
2,8,7,1
102,8,8,0
910,9,5,4
74,9,6,3
20,9,7,2
1,9,8,1
18,9,9,0
2967,10,5,5
212,10,6,4
6,10,7,3
39,10,8,2
40,10,9,1
21,10,10,0
58,11,6,5
6,11,7,4
17,11,8,3
5,11,9,2
1,11,10,1
4,11,11,0
1145,12,6,6
16,12,7,5
11,12,8,4
7,12,9,3
3,12,10,2
17,12,12,0
665,13,7,6
1,13,8,5
3,13,9,4
1,13,10,3
1,13,12,1
5,13,13,0
20,14,7,7
18,14,8,6
12,14,9,5
2,14,10,4
2,14,12,2
1,14,14,0
1,15,7,8
35,15,8,7
14,15,12,3
31,16,8,8
3,16,9,7
3,16,10,6
1,16,13,3
304,16,16,0
28,17,9,8
1,17,10,7
2,17,17,0
12,18,9,9
13,18,10,8
1,18,12,6
31,18,16,2
1,18,18,0
6,19,10,9
3,19,14,5
1,20,14,6
1,20,15,5
2,20,16,4
1,20,18,2
41,21,11,10
1,21,15,6
2,22,13,9
1,22,20,2
4,23,12,11
1,23,14,9
2,24,12,12
1,24,16,8
1,24,20,4
46,25,13,12
1,26,13,13
31,27,14,13
1,34,18,16
