numdomains,ipscount,ipsv4count,ipsv6count
6078,0,0,0
1,1,0,1
9839,1,1,0
9196,2,1,1
226261,2,2,0
1,3,0,3
1,3,1,2
5936,3,2,1
77009,3,3,0
1,4,1,3
35882,4,2,2
2390,4,3,1
41952,4,4,0
1,5,1,4
2,5,2,3
604,5,3,2
4364,5,4,1
2363,5,5,0
1,6,2,4
10377,6,3,3
1728,6,4,2
43,6,5,1
703,6,6,0
2,7,3,4
3188,7,4,3
173,7,5,2
15,7,6,1
72,7,7,0
31820,8,4,4
111,8,5,3
60,8,6,2
2,8,7,1
72,8,8,0
429,9,5,4
110,9,6,3
29,9,7,2
2,9,9,0
2827,10,5,5
321,10,6,4
5,10,7,3
18,10,8,2
32,10,9,1
74,10,10,0
169,11,6,5
10,11,7,4
161,11,8,3
4,11,9,2
1,11,10,1
31687,12,6,6
7,12,7,5
54,12,8,4
2,12,9,3
61,12,10,2
9,12,12,0
5,13,7,6
11,13,8,5
7,13,9,4
1,13,12,1
15,13,13,0
860,14,7,7
8,14,8,6
13,14,9,5
2,14,10,4
1,14,11,3
1,14,12,2
2,14,14,0
47,15,8,7
2,15,9,6
15,15,12,3
1,16,7,9
49,16,8,8
2,16,12,4
205,16,16,0
20,17,9,8
15,17,10,7
4,17,17,0
9,18,9,9
14,18,10,8
87,18,13,5
1,18,16,2
1,18,18,0
7,19,10,9
2,19,14,5
1,19,15,4
2,20,10,10
8,20,12,8
1,20,14,6
1,20,20,0
38,21,11,10
1,21,14,7
2,22,18,4
26,22,20,2
4,23,12,11
1,23,14,9
2,24,12,12
1,24,20,4
39,25,13,12
21,27,14,13
1,28,14,14
5,28,28,0
1,34,18,16
1,36,20,16
