numdomains,ipscount,ipsv4count,ipsv6count
7149,0,0,0
11243,1,1,0
936,2,1,1
211517,2,2,0
4459,3,2,1
73753,3,3,0
42608,4,2,2
1982,4,3,1
40845,4,4,0
292,5,3,2
3215,5,4,1
2383,5,5,0
59,6,2,4
11089,6,3,3
3285,6,4,2
20,6,5,1
560,6,6,0
1,7,3,4
792,7,4,3
152,7,5,2
2,7,6,1
50,7,7,0
29189,8,4,4
66,8,5,3
45,8,6,2
56,8,8,0
371,9,5,4
76,9,6,3
22,9,7,2
1,9,9,0
2569,10,5,5
208,10,6,4
2,10,7,3
5,10,8,2
28,10,9,1
73,10,10,0
144,11,6,5
1,11,7,4
144,11,8,3
1,11,9,2
1,11,10,1
28516,12,6,6
6,12,7,5
4,12,8,4
10,12,10,2
4,12,12,0
4,13,7,6
7,13,8,5
1,13,9,4
1,13,12,1
11,13,13,0
582,14,7,7
2,14,8,6
12,14,9,5
6,14,11,3
23,15,8,7
2,15,9,6
65,16,8,8
2,16,12,4
139,16,16,0
6,17,8,9
24,17,9,8
14,17,10,7
48,17,13,4
8,18,9,9
7,18,10,8
64,18,13,5
14,18,16,2
3,19,10,9
2,19,19,0
3,20,10,10
12,20,12,8
1,20,14,6
1,20,16,4
39,21,11,10
1,21,14,7
2,22,20,2
4,23,12,11
1,23,14,9
2,24,12,12
36,25,13,12
1,25,19,6
19,27,14,13
5,28,28,0
